# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m)
3.580000000000000000e+02,1.628009842981154379e-02,5.181089568897031286e-06,1.183549579715230740e-02,1.384314107314085079e-02,3.162277660168379134e-02,2.645276616045603994e+06
3.570000000000000000e+02,1.741699860083155763e-02,5.559696155427064724e-06,1.189767992377261524e-02,1.477708516473202373e-02,3.162277660168379134e-02,2.638317216022272129e+06
3.560000000000000000e+02,1.855702300804469573e-02,6.670864962718137091e-06,1.196035326408726764e-02,1.763754529637914445e-02,3.162277660168379134e-02,2.631357954012615141e+06
3.550000000000000000e+02,1.970019644098427655e-02,7.820817612216701185e-06,1.202352086420089249e-02,2.056934661543334542e-02,3.162277660168379134e-02,2.624398839454045985e+06
3.540000000000000000e+02,2.084654394762370383e-02,8.985965593436179660e-06,1.208718783409740150e-02,2.350928821591103529e-02,3.162277660168379134e-02,2.617439881862059236e+06
3.530000000000000000e+02,2.199609083769345219e-02,1.016652662314717335e-05,1.215135934859023180e-02,2.645743500756173733e-02,3.162277660168379134e-02,2.610481090831256937e+06
3.520000000000000000e+02,2.314886268604434902e-02,1.136272197937666440e-05,1.221604064828873439e-02,2.941385258006696743e-02,3.162277660168379134e-02,2.603522476036387496e+06
3.510000000000000000e+02,2.430488533606646115e-02,1.257477656756134619e-05,1.228123704058088801e-02,3.237860721180838702e-02,3.162277660168379134e-02,2.596564047233405989e+06
3.500000000000000000e+02,2.546418490315412522e-02,1.380291898807199893e-05,1.234695390063273585e-02,3.535176587875425713e-02,3.162277660168379134e-02,2.589605814260545187e+06
3.490000000000000000e+02,2.662678777822875126e-02,1.504738160515110072e-05,1.241319667240479985e-02,3.833339626349408641e-02,3.162277660168379134e-02,2.582647787039412651e+06
3.480000000000000000e+02,2.779272063131252649e-02,1.630840061728865825e-05,1.247997086968593260e-02,4.132356676440381710e-02,3.162277660168379134e-02,2.575689975576090626e+06
3.470000000000000000e+02,2.896201041515772401e-02,1.758621612907290140e-05,1.254728207714468809e-02,4.432234650495359141e-02,3.162277660168379134e-02,2.568732389962268528e+06
3.460000000000000000e+02,3.013468436893127975e-02,1.888107222454898788e-05,1.261513595139877701e-02,4.732980534315729682e-02,3.162277660168379134e-02,2.561775040376385674e+06
3.450000000000000000e+02,3.131077002195664649e-02,2.019321704212163885e-05,1.268353822210283206e-02,5.034601388116898696e-02,3.162277660168379134e-02,2.554817937084792182e+06
3.440000000000000000e+02,3.249029519751031603e-02,2.152290285103389622e-05,1.275249469305489956e-02,5.337104347501946816e-02,3.162277660168379134e-02,2.547861090442927554e+06
3.430000000000000000e+02,3.367328801668297705e-02,2.287038612946782942e-05,1.282201124332184999e-02,5.640496624451875329e-02,3.162277660168379134e-02,2.540904510896525346e+06
3.420000000000000000e+02,3.485977690229308257e-02,2.423592764429158286e-05,1.289209382838433539e-02,5.944785508329279711e-02,3.162277660168379134e-02,2.533948208982827608e+06
3.410000000000000000e+02,3.604979058286496285e-02,2.611665419099004368e-05,1.296274848130140288e-02,6.371188349881429236e-02,3.162277660168379134e-02,2.526992195331824943e+06
3.400000000000000000e+02,3.724335809667059238e-02,2.804344307905080755e-05,1.303398131389531950e-02,6.803842312444038920e-02,3.162277660168379134e-02,2.520036480667513330e+06
3.390000000000000000e+02,3.844050879582735364e-02,2.999644401029242271e-05,1.310579851795688755e-02,7.237795136883193314e-02,3.162277660168379134e-02,2.513081075809174683e+06
3.380000000000000000e+02,3.964127235046804171e-02,3.197604609547314176e-05,1.317820636647171195e-02,7.673057578267519774e-02,3.162277660168379134e-02,2.506125991672673263e+06
3.370000000000000000e+02,4.084567875296828132e-02,3.398264504348603993e-05,1.325121121486777867e-02,8.109640508474823262e-02,3.162277660168379134e-02,2.499171239271779545e+06
3.360000000000000000e+02,4.205375832224663574e-02,3.601664328831626045e-05,1.332481950228473454e-02,8.547554917750818659e-02,3.162277660168379134e-02,2.492216829719508532e+06
3.350000000000000000e+02,4.326554170812747097e-02,3.807845011872455055e-05,1.339903775286538888e-02,8.986811916290625424e-02,3.162277660168379134e-02,2.485262774229485542e+06
3.340000000000000000e+02,4.448105989577445102e-02,4.016848181073184062e-05,1.347387257706974227e-02,9.427422735845848722e-02,3.162277660168379134e-02,2.478309084117329214e+06
3.330000000000000000e+02,4.570034421019244369e-02,4.228716176296594089e-05,1.354933067301197780e-02,9.869398731356468502e-02,3.162277660168379134e-02,2.471355770802064799e+06
3.320000000000000000e+02,4.692342632080336723e-02,4.443492063494623625e-05,1.362541882782103940e-02,1.031275138260953489e-01,3.162277660168379134e-02,2.464402845807552338e+06
3.310000000000000000e+02,4.815033824609048912e-02,4.661219648836466192e-05,1.370214391902495853e-02,1.075749229592266321e-01,3.162277660168379134e-02,2.457450320763941854e+06
3.300000000000000000e+02,4.938111235832049611e-02,4.881943493144866601e-05,1.377951291595969595e-02,1.120363320585572864e-01,3.162277660168379134e-02,2.450498207409154158e+06
3.290000000000000000e+02,5.061578138833526530e-02,5.105708926646416399e-05,1.385753288120269641e-02,1.165118597694783514e-01,3.162277660168379134e-02,2.443546517590383533e+06
3.280000000000000000e+02,5.185437843042635386e-02,5.332562064045321022e-05,1.393621097203185007e-02,1.210016260548424510e-01,3.162277660168379134e-02,2.436595263265626971e+06
3.270000000000000000e+02,5.309693694728079283e-02,5.569939090007454684e-05,1.401555444191023361e-02,1.256724735780665181e-01,3.162277660168379134e-02,2.429644456505238079e+06
3.260000000000000000e+02,5.434349077501088310e-02,5.815719852456398801e-05,1.409557064199716547e-02,1.304730502532875924e-01,3.162277660168379134e-02,2.422694109493504744e+06
3.250000000000000000e+02,5.559407412826331690e-02,6.064916652345781210e-05,1.417626702268608672e-02,1.352891449477104657e-01,3.162277660168379134e-02,2.415744234530260321e+06
3.240000000000000000e+02,5.684872160540662550e-02,6.317581799976378120e-05,1.425765113516977954e-02,1.401208909023691218e-01,3.162277660168379134e-02,2.408794844032512978e+06
3.230000000000000000e+02,5.810746819380821493e-02,6.573768522101419080e-05,1.433973063303351815e-02,1.449684228563628274e-01,3.162277660168379134e-02,2.401845950536106247e+06
3.220000000000000000e+02,5.937034927519247579e-02,6.833530980137455179e-05,1.442251327387654436e-02,1.498318770674905154e-01,3.162277660168379134e-02,2.394897566697409842e+06
3.210000000000000000e+02,6.063740063108444267e-02,7.096924288779492350e-05,1.450600692096265174e-02,1.547113913332148205e-01,3.162277660168379134e-02,2.387949705295033753e+06
3.200000000000000000e+02,6.190865844834699677e-02,7.364004535031319220e-05,1.459021954490018202e-02,1.596071050119862444e-01,3.162277660168379134e-02,2.381002379231577273e+06
3.190000000000000000e+02,6.318415932480007935e-02,7.634828797658963157e-05,1.467515922535226995e-02,1.645191590448831787e-01,3.162277660168379134e-02,2.374055601535401773e+06
3.180000000000000000e+02,6.446394027494065093e-02,7.909455167080616292e-05,1.476083415277769026e-02,1.694476959776399783e-01,3.162277660168379134e-02,2.367109385362439323e+06
3.170000000000000000e+02,6.574803873574580626e-02,8.187942765700421716e-05,1.484725263020315184e-02,1.743928599829951132e-01,3.162277660168379134e-02,2.360163743998026010e+06
3.160000000000000000e+02,6.703649257257938976e-02,8.470351768700287655e-05,1.493442307502736155e-02,1.793547968834381390e-01,3.162277660168379134e-02,2.353218690858773421e+06
