cloud_cover_45_raw
9.48E-37
4.80E-06
4.29E-04
2.28E-03
5.73E-03
1.05E-02
1.62E-02
2.26E-02
2.95E-02
3.69E-02
4.45E-02
5.24E-02
6.04E-02
6.86E-02
7.69E-02
8.53E-02
9.37E-02
1.02E-01
1.11E-01
1.19E-01
1.28E-01
1.36E-01
1.45E-01
1.53E-01
1.61E-01
1.70E-01
1.78E-01
1.86E-01
1.95E-01
2.03E-01
2.11E-01
2.19E-01
2.27E-01
2.35E-01
2.43E-01
2.50E-01
2.58E-01
2.66E-01
2.73E-01
2.80E-01
2.88E-01
2.95E-01
3.02E-01
3.09E-01
3.16E-01
3.22E-01
3.29E-01
3.36E-01
3.42E-01
3.48E-01
3.55E-01
3.61E-01
3.66E-01
3.72E-01
3.78E-01
3.83E-01
3.89E-01
3.94E-01
3.99E-01
4.04E-01
4.09E-01
4.14E-01
4.18E-01
4.23E-01
4.27E-01
4.31E-01
4.35E-01
4.39E-01
4.43E-01
4.46E-01
4.50E-01
4.53E-01
4.56E-01
4.59E-01
4.62E-01
4.64E-01
4.67E-01
4.69E-01
4.71E-01
4.73E-01
4.75E-01
4.76E-01
4.78E-01
4.79E-01
4.80E-01
4.81E-01
4.82E-01
4.82E-01
4.83E-01
4.83E-01
4.83E-01
