cloud_cover_25_raw
1.29E-36
6.55E-06
5.85E-04
3.11E-03
7.81E-03
1.43E-02
2.20E-02
3.08E-02
4.02E-02
5.03E-02
6.07E-02
7.14E-02
8.24E-02
9.36E-02
1.05E-01
1.16E-01
1.28E-01
1.39E-01
1.51E-01
1.62E-01
1.74E-01
1.86E-01
1.97E-01
2.09E-01
2.20E-01
2.32E-01
2.43E-01
2.54E-01
2.65E-01
2.77E-01
2.88E-01
2.99E-01
3.09E-01
3.20E-01
3.31E-01
3.41E-01
3.52E-01
3.62E-01
3.72E-01
3.82E-01
3.92E-01
4.02E-01
4.12E-01
4.21E-01
4.30E-01
4.40E-01
4.49E-01
4.58E-01
4.66E-01
4.75E-01
4.83E-01
4.92E-01
5.00E-01
5.07E-01
5.15E-01
5.23E-01
5.30E-01
5.37E-01
5.44E-01
5.51E-01
5.58E-01
5.64E-01
5.70E-01
5.76E-01
5.82E-01
5.88E-01
5.93E-01
5.98E-01
6.03E-01
6.08E-01
6.12E-01
6.17E-01
6.21E-01
6.25E-01
6.29E-01
6.32E-01
6.35E-01
6.38E-01
6.41E-01
6.44E-01
6.46E-01
6.48E-01
6.50E-01
6.52E-01
6.53E-01
6.55E-01
6.56E-01
6.57E-01
6.57E-01
6.57E-01
6.58E-01
